origin,destination,flows,pop.destination
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lawrence_Ward A,,16297
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lawrence_Ward C,,14242
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lawrence_Ward D,,18315
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lowell_Acre,,12072
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lowell_Centralville,,15808
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lowell_Lower Belvidere,,33301
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lowell_Lower Highlands,,11813
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lowell_Pawtucketville,,14355
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lynn_Ward 3,,22132
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lynn_Ward 4,,17440
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lynn_Ward 5,,19986
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Lynn_Ward 7,,15589
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MAGIC_Developing Suburbs,,45932
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MAGIC_Maturing Suburbs,,115604
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Metrowest_Developing Suburbs,,13801
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Metrowest_Maturing Suburbs,108,106807
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Metrowest_Regional Urban Centers,,36255
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MRPC_Developing Suburbs,,104376
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MRPC_Regional Urban Centers,,110984
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MVC_Developing Suburbs,,14987
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MVPC_Developing Suburbs,,110116
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",MVPC_Regional Urban Centers,,136397
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",New Bedford_Neighborhood 5,,19639
"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",Newton_Ward 2,,24821
