"","origin","destination","flows","population"
"181","CMRPC Developing Suburbs","MAGIC Maturing Suburbs",63,115604
"182","CMRPC Developing Suburbs","Metrowest Maturing Suburbs",165,106807
"183","CMRPC Developing Suburbs","Metrowest Regional Urban Centers",115,36255
"184","CMRPC Developing Suburbs","MRPC Developing Suburbs",151,104376
"185","CMRPC Developing Suburbs","MRPC Regional Urban Centers",157,110984
"186","CMRPC Developing Suburbs","MRPC Rural Towns",92,19547
"187","CMRPC Developing Suburbs","PVPC Developing Suburbs",132,173566
"188","CMRPC Developing Suburbs","PVPC Regional Urban Centers",51,239962
"189","CMRPC Developing Suburbs","PVPC Rural Towns",75,27236
"190","CMRPC Developing Suburbs","SRPEDD Developing Suburbs",72,272896
"191","CMRPC Developing Suburbs","SWAP Developing Suburbs",236,103784
"192","CMRPC Developing Suburbs","SWAP Regional Urban Centers",132,26799
"193","CMRPC Developing Suburbs","Worcester Burncoat",290,37561
"194","CMRPC Developing Suburbs","Worcester Doherty",345,59480
"195","CMRPC Developing Suburbs","Worcester North",281,37617
"196","CMRPC Developing Suburbs","Worcester South",220,37990
"197","CMRPC Regional Urban Centers","CMRPC Developing Suburbs",389,308392
"198","Everett All","ICC Inner Core",452,417536
"199","Everett All","ICC Maturing Suburbs",65,52140
"200","Everett All","NSPC Maturing Suburbs",86,161159
"201","Everett All","NSTF Regional Urban Centers",56,158671
"202","Fall River Sector 1","Fall River Sector 2",55,16515
"203","Fall River Sector 1","Fall River Sector 7",88,23223
"204","Fall River Sector 1","SRPEDD Developing Suburbs",55,272896
"205","Fall River Sector 2","Fall River Sector 5",53,11806
"206","Fall River Sector 2","Fall River Sector 7",87,23223
"207","Fall River Sector 2","SRPEDD Developing Suburbs",96,272896
"208","Fall River Sector 5","Fall River Sector 2",56,16515
"209","Fall River Sector 5","Fall River Sector 7",86,23223
"210","Fall River Sector 5","Fall River Sector 8",51,12871
"211","Fall River Sector 5","SRPEDD Developing Suburbs",65,272896
"212","Fall River Sector 7","Fall River Sector 1",88,12601
"213","Fall River Sector 7","Fall River Sector 2",108,16515
"214","Fall River Sector 7","Fall River Sector 5",56,11806
"215","Fall River Sector 7","Fall River Sector 8",93,12871
"216","Fall River Sector 7","Fall River Sector 9",63,14922
"217","Fall River Sector 7","SRPEDD Developing Suburbs",116,272896
"218","Fall River Sector 7","SRPEDD Regional Urban Centers",58,116278
"219","Fall River Sector 8","Fall River Sector 2",54,16515
"220","Fall River Sector 8","Fall River Sector 7",72,23223
"221","Fall River Sector 8","Fall River Sector 9",93,14922
"222","Fall River Sector 8","SRPEDD Developing Suburbs",77,272896
"223","Fall River Sector 9","Fall River Sector 7",68,23223
"224","Fall River Sector 9","Fall River Sector 8",68,12871
"225","Fall River Sector 9","SRPEDD Developing Suburbs",114,272896
"226","Fall River Sector 9","SRPEDD Regional Urban Centers",60,116278
"227","Framingham All","CMRPC Developing Suburbs",209,308392
"228","Framingham All","ICC Inner Core",124,417536
"229","Framingham All","MAGIC Maturing Suburbs",69,115604
"230","Framingham All","Metrowest Maturing Suburbs",366,106807
"231","Framingham All","Metrowest Regional Urban Centers",172,36255
"232","Framingham All","SWAP Developing Suburbs",81,103784
"233","Framingham All","SWAP Regional Urban Centers",58,26799
"234","FRCOG Developing Suburbs","FRCOG Rural Towns",242,32610
"235","FRCOG Developing Suburbs","MRPC Developing Suburbs",65,104376
"236","FRCOG Developing Suburbs","PVPC Regional Urban Centers",101,239962
"237","FRCOG Rural Towns","FRCOG Developing Suburbs",220,38925
"238","FRCOG Rural Towns","PVPC Developing Suburbs",56,173566
"239","FRCOG Rural Towns","PVPC Regional Urban Centers",123,239962
"240","ICC Inner Core","Boston Allston/Brighton",578,75954
"241","ICC Inner Core","Boston Downtown",328,45238
"242","ICC Inner Core","Boston Charlestown",114,15195
"243","ICC Inner Core","Boston Dorchester",165,132393
"244","ICC Inner Core","Boston East Boston",312,41604
"245","ICC Inner Core","Boston Fenway",139,43708
"246","ICC Inner Core","Boston Jamaica Plain",170,33881
"247","ICC Inner Core","Boston Roslindale",99,28003
"248","ICC Inner Core","Boston Roxbury",71,33389
"249","ICC Inner Core","Boston South Boston",167,34837
"250","ICC Inner Core","Boston South End",126,25242
"251","ICC Inner Core","Boston West Roxbury",120,28753
"252","ICC Inner Core","Cambridge All",594,101355
"253","ICC Inner Core","CCC Maturing Suburbs",120,201577
"254","ICC Inner Core","Chelsea Ward 3",111,17797
"255","ICC Inner Core","Chelsea Ward 4",97,17283
"256","ICC Inner Core","CMRPC Developing Suburbs",213,308392
"257","ICC Inner Core","Everett All",423,38037
"258","ICC Inner Core","Framingham All",239,66910
"259","ICC Inner Core","ICC Maturing Suburbs",327,52140
"260","ICC Inner Core","Lynn Ward 3",62,22132
"261","ICC Inner Core","Lynn Ward 4",76,17440
"262","ICC Inner Core","Lynn Ward 5",57,19986
"263","ICC Inner Core","Lynn Ward 7",60,15589
"264","ICC Inner Core","MAGIC Developing Suburbs",100,45932
"265","ICC Inner Core","MAGIC Maturing Suburbs",628,115604
"266","ICC Inner Core","Metrowest Maturing Suburbs",390,106807
"267","ICC Inner Core","Metrowest Regional Urban Centers",117,36255
"268","ICC Inner Core","MRPC Developing Suburbs",91,104376
"269","ICC Inner Core","MRPC Regional Urban Centers",60,110984
"270","ICC Inner Core","MVPC Developing Suburbs",228,110116
"271","ICC Inner Core","MVPC Regional Urban Centers",209,136397
"272","ICC Inner Core","Newton Ward 2",246,24821
"273","ICC Inner Core","Newton Ward 3",118,14603
