"","X","origin","destination","flows","upper","lower","prob.from.origin","prob.from.destination"
"83",83,"Boston_Allston/Brighton","NSPC_Maturing Suburbs",89,113,69,-41.4744378133972,54.3509624232338
"84",84,"Boston_Allston/Brighton","NSPC_Regional Urban Centers",NA,NA,NA,-39.6767359441095,23.4768729317274
"85",85,"Boston_Allston/Brighton","NSTF_Developing Suburbs",NA,NA,NA,-64.5092125159858,-6.8029206026087
"86",86,"Boston_Allston/Brighton","NSTF_Maturing Suburbs",NA,NA,NA,-57.7636814560944,7.56431118550829
"87",87,"Boston_Allston/Brighton","NSTF_Regional Urban Centers",NA,NA,NA,-66.0633811963432,8.35466493493375
"88",88,"Boston_Allston/Brighton","OCPC_Developing Suburbs",NA,NA,NA,-77.5483778742337,-37.4941003587197
"89",89,"Boston_Allston/Brighton","PVPC_Developing Suburbs",NA,NA,NA,-92.5057285209095,-71.0247846120724
"90",90,"Boston_Allston/Brighton","PVPC_Maturing Suburbs",NA,NA,NA,-92.3422480251262,-70.8251315253849
"91",91,"Boston_Allston/Brighton","PVPC_Regional Urban Centers",NA,NA,NA,-88.9429603549671,-52.9298511009145
"92",92,"Boston_Allston/Brighton","PVPC_Rural Towns",NA,NA,NA,-96.0541427464891,-88.2047973229976
"93",93,"Boston_Allston/Brighton","Quincy_Houghs Neck",NA,NA,NA,8.92886784669802,89.0881483653673
"94",94,"Boston_Allston/Brighton","Quincy_North Quincy",NA,NA,NA,147.759020352911,304.216843864489
"95",95,"Boston_Allston/Brighton","Quincy_Quincy Center",NA,NA,NA,182.636389662513,223.886998343133
"96",96,"Boston_Allston/Brighton","Quincy_South Quincy",NA,NA,NA,143.871635404162,229.330284398968
"97",97,"Boston_Allston/Brighton","Quincy_Wollaston",NA,NA,NA,-34.8893733395991,16.187294392382
"98",98,"Boston_Allston/Brighton","Somerville_2143",100,121,72,407.708579861372,563.594225814139
"99",99,"Boston_Allston/Brighton","Somerville_2144",163,190,130,512.695046582912,697.761469383037
"100",100,"Boston_Allston/Brighton","Somerville_2145",71,90,50,225.356596289754,436.363787072761
"101",101,"Boston_Allston/Brighton","Springfield_East Forest Park",NA,NA,NA,-68.6336382122382,-35.5531309992354
"102",102,"Boston_Allston/Brighton","Springfield_Forest Park",NA,NA,NA,-78.7743796010905,-59.7644710796696
"103",103,"Boston_Allston/Brighton","Springfield_Indian Orchard",0,0,0,-99.999870130756,-99.9999209313761
"104",104,"Boston_Allston/Brighton","Springfield_Liberty Heights",0,0,0,-99.9999107682348,-99.9999429264218
"105",105,"Boston_Allston/Brighton","Springfield_McKnight",NA,NA,NA,-94.9820476103281,-89.4651697547957
"106",106,"Boston_Allston/Brighton","Springfield_Pine Point",NA,NA,NA,-93.3578608724298,-86.3165776319821
"107",107,"Boston_Allston/Brighton","Springfield_Sixteen Acres",NA,NA,NA,-94.5893989615815,-87.2993259995504
"108",108,"Boston_Allston/Brighton","Springfield_South End",0,0,0,-99.9999079157983,-99.9999426868872
"109",109,"Boston_Allston/Brighton","SRPEDD_Developing Suburbs",NA,NA,NA,-86.9455525242394,-53.7567351466399
"110",110,"Boston_Allston/Brighton","SRPEDD_Maturing Suburbs",NA,NA,NA,-76.0133541258114,-41.2801353054007
"111",111,"Boston_Allston/Brighton","SRPEDD_Regional Urban Centers",NA,NA,NA,-89.3420972551884,-66.7161308067358
"112",112,"Boston_Allston/Brighton","SSC_Developing Suburbs",NA,NA,NA,-60.5931344270814,-8.4685299474827
"113",113,"Boston_Allston/Brighton","SSC_Maturing Suburbs",100,117,80,-46.9020139046676,45.1525019011499
"114",114,"Boston_Allston/Brighton","SWAP_Developing Suburbs",NA,NA,NA,-47.8016244282472,61.6637603721925
"115",115,"Boston_Allston/Brighton","SWAP_Regional Urban Centers",NA,NA,NA,-66.0944231352337,-10.927949413172
"116",116,"Boston_Allston/Brighton","TRIC_Developing Suburbs",NA,NA,NA,-28.9238651201245,76.2773042207837
"117",117,"Boston_Allston/Brighton","TRIC_Maturing Suburbs",156,190,125,0.327642726919564,148.346286828595
"118",118,"Boston_Allston/Brighton","TRIC_Regional Urban Centers",NA,NA,NA,13.1807823009027,123.098796783843
"119",119,"Boston_Allston/Brighton","Worcester_Burncoat",NA,NA,NA,-75.8632857801253,-56.7585230073546
"120",120,"Boston_Allston/Brighton","Worcester_Doherty",NA,NA,NA,-89.3697783704245,-77.9119085550639
"121",121,"Boston_Allston/Brighton","Worcester_North",NA,NA,NA,-77.5916706295814,-62.9019181438335
"122",122,"Boston_Allston/Brighton","Worcester_South",NA,NA,NA,-89.0751551423876,-79.7039086207923
"123",123,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Allston/Brighton",249,296,210,443.61671279697,726.302930847713
"124",124,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End",28737,29097,28382,NA,NA
"125",125,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Charlestown",211,243,179,1628.18097845307,2387.96461167535
"126",126,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Dorchester",79,99,55,-2.03580456466954,116.430788431414
"127",127,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_East Boston",NA,NA,NA,178.657863064639,455.099407452369
"128",128,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Fenway",131,165,105,622.957114855133,1045.34725729045
"129",129,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Hyde Park",NA,NA,NA,-18.0944509869797,47.3961453036983
"130",130,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Jamaica Plain",81,102,62,234.775937351114,393.754593837587
"131",131,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Mattapan",NA,NA,NA,22.6921346419342,112.093034609841
"132",132,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Roslindale",NA,NA,NA,58.8192683314508,144.285694625084
"133",133,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_Roxbury",NA,NA,NA,69.9052257888723,172.155810075483
"134",134,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_South Boston",256,291,219,860.645999927901,1112.53846716602
"135",135,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_South End",435,472,381,1878.96488420484,2630.68139108977
"136",136,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Boston_West Roxbury",NA,NA,NA,56.7171943116642,152.662170596486
"137",137,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Brockton_Ward 1",NA,NA,NA,-92.9530424269753,-88.1608130324593
"138",138,"Boston_Back Bay, Downtown, Beacon Hill, West &amp; North End","Brockton_Ward 2",NA,NA,NA,-86.1365428490961,-82.4820046335735
